Kode,Kategori,Jumlah Penjual,Rating,Jumlah Review,Harga
KFB08DF248LD,Video Games,,4.7,"11,875",704583.25
KFB06XYYS12C,"Clothing, Shoes & Jewelry",1 penjual,4.5,"15,669",
KFB01K8RMDO0,Gift Cards,,4.9,"62,352",359481.25
KFB071R1XTGS,,2 penjual,4.5,"43,976",257388.57499999998 rupiah
KFB07G2YR23M,Camera & Photo,1 Penjual,4.6,,IDR 575026.2075
KFB00BWDH3VS,,1 Penjual,4.8,"721,689",718962.5 Rupiah
KFB00PKNO7LK,Toys & Games,9 penjual,,"21,781",357755.74 Rupiah
KF1483815854,Books,,4.6,"3,271",143504.915 Rupiah
KFB08P4DZYGC,Camera & Photo,4 yg jual,4.4,"2,924",
KFB0763VZ9Z7,Gift Cards,,4.9,"4,095",359481.25 Rupiah
KFB07WYVVY2Z,Gift Cards,,4.8,"91,384",718962.5
KFB07SXLYQ6S,Toys & Games,16 yg jual,4.8,,IDR 186067.495
KFB07RM61WQ6,Camera & Photo,1 penjual,4.6,,1437781.2075
KFB08ZNQN1FP,,13 penjual,4.6,279,848375.75
KFB07Q8QXSL8,"Clothing, Shoes & Jewelry",2 penjual,4.6,"9,697",
KFB01N16VX79,,5 Penjual,4.7,649,IDR 244303.4575
KFB08RBHL3HW,,2 yg jual,4.3,"13,577",335755.48750000005
KFB07X81M2D2,Camera & Photo,1 Penjual,4.4,,517509.2075 Rupiah
KFB007DW6F34,,10 penjual,4.6,"8,795",IDR 100510.9575
KF1984806734,Books,1 penjual,,"12,295",105831.28
KFB01I21GQH4,"Clothing, Shoes & Jewelry",23 penjual,,"20,837",99216.82500000001 rupiah
KFB086FNYH28,,1 yg jual,4.8,"721,690",718962.5 Rupiah
KFB07GPFDL1K,Electronics,4 penjual,,"17,939",244303.4575 rupiah
KFB078VVLQ6J,Toys & Games,,4.9,"10,955",1006403.7074999999 rupiah
KFB086FJV9H7,,1 Penjual,4.8,"91,384",718962.5 rupiah
KFB0758L64L9,Electronics,1 yg jual,,"23,741",2875706.2075
KFB07DVFQ1SV,Video Games,1 penjual,,"4,573",244303.4575
KFB08V4NP5LT,Camera & Photo,1 Penjual,4.7,790,
KFB00N1QPNMA,Toys & Games,,4.7,"11,947",157452.78749999998 rupiah
KFB01FSCQ1IY,"Clothing, Shoes & Jewelry",5 Penjual,,"16,151",281833.30000000005 rupiah
KFB07736Q4GC,,1 penjual,4.8,"52,513",143792.5 rupiah
KFB08F5LQCYP,,1 yg jual,4.5,"1,228",2156743.7075 Rupiah
KFB08F6GPQQ7,Electronics,,4.5,179,IDR 2588121.2075
KFB01N1037CV,Video Games,49 Penjual,4.9,,718099.745 Rupiah
KFB01MG2163Y,Toys & Games,3 penjual,,"2,180",IDR 359337.45749999996
KF593139135,Books,1 yg jual,4.7,,243728.28749999998 Rupiah
KF593135202,,1 penjual,4.7,"16,058",IDR 208355.3325
KFB083Q4V52T,"Clothing, Shoes & Jewelry",,4.0,"12,850",IDR 273061.95749999996
KFB004S8F7QM,Toys & Games,,4.8,"107,829",359481.25 Rupiah
KFB00JM5GW10,Toys & Games,6 Penjual,4.7,"32,246",
KFB06ZYZ1TKK,Gift Cards,,4.8,"7,247",IDR 718962.5
KFB089NLB7BH,,1 Penjual,4.4,"12,655",114890.2075 Rupiah
KFB0848Q2226,"Clothing, Shoes & Jewelry",,4.6,"25,674",359337.45749999996
KFB08BSKT43L,Video Games,,4.9,"9,297",573444.49
KFB01N16VX79,Toys & Games,5 yg jual,4.7,649,
KFB016PARZEC,,1 penjual,4.9,"3,490",IDR 718962.5
KF679805273,Books,1 penjual,4.9,,111870.565
KF316420085,,1 penjual,4.6,"4,741",250198.94999999998 rupiah
KF735211299,,1 penjual,4.8,"46,062",IDR 172263.415
KFB01C5A2WJO,Toys & Games,12 Penjual,,"26,961",503129.9575 rupiah
KFB08R6S1M1K,Electronics,3 penjual,4.7,"1,450",
KFB071R1XTGS,"Clothing, Shoes & Jewelry",2 Penjual,4.5,"43,976",
KFB08DXD8LSR,Camera & Photo,,4.5,"1,661",IDR 1437781.2075
KFB07T5DTPHL,"Clothing, Shoes & Jewelry",1 Penjual,4.0,,258682.7075 rupiah
KFB06XT7M6P5,Camera & Photo,4 yg jual,4.4,"6,608",
KFB06X6HSVDY,,1 Penjual,4.8,"721,690",718962.5
KFB08KGV5MZD,,1 yg jual,4.6,"3,051",60249.0575
KFB01CW4CR4I,Camera & Photo,3 Penjual,4.3,,IDR 575026.2075
KFB07QKXM2D3,Camera & Photo,4 Penjual,4.4,"20,546",
KFB08CNG9Y52,"Clothing, Shoes & Jewelry",5 yg jual,4.7,,359337.45749999996
KFB07R29C46G,"Clothing, Shoes & Jewelry",1 yg jual,4.7,,IDR 182760.26750000002
KFB07RRGWMYJ,,1 penjual,4.2,"12,645",IDR 287441.20749999996
KFB07SXLYQ6S,Toys & Games,16 yg jual,,"13,958",186067.495
KFB07MYYV9K1,Camera & Photo,2 yg jual,4.4,"3,218",
KFB000HTILV4,,2 penjual,4.6,"58,537",IDR 416566.8725
KFB018HB2QFU,Toys & Games,16 Penjual,4.7,"28,041",
KFB01CDCG4KM,Video Games,2 penjual,,"20,621",287441.20749999996
KF1501110365,Books,1 penjual,4.7,"18,508",
KF1338680455,Books,,4.9,"10,714",105831.28
KFB086DKGCFP,Electronics,1 Penjual,4.4,"54,100",
KFB07611Y7NN,"Clothing, Shoes & Jewelry",14 yg jual,4.5,,82680.6875 Rupiah
KFB01MG2163Y,Toys & Games,3 yg jual,4.8,"2,180",
KFB07DY9HLZ8,"Clothing, Shoes & Jewelry",1 yg jual,4.4,"23,111",
KFB017SD8RWO,Camera & Photo,3 Penjual,,"22,775",488750.7075
KF679805273,,1 Penjual,4.9,"27,317",IDR 111870.565
KFB08ZKWS7CK,Gift Cards,1 Penjual,,"91,384",718962.5 rupiah
KFB01CDCG4KM,Video Games,,4.6,"20,621",287441.20749999996 rupiah
KFB07VPFWNNZ,"Clothing, Shoes & Jewelry",1 penjual,4.4,,100510.9575 rupiah
KFB071FLSWBS,Toys & Games,,4.6,"45,035",99073.0325
KFB07KPSLPRW,Camera & Photo,3 penjual,,"10,530",388095.95749999996 rupiah
KFB01C5A2WJO,Toys & Games,12 penjual,4.8,"26,961",
KFB07SXLYQ6S,,16 Penjual,4.8,"13,958",IDR 186067.495
KFB01H5PPQYM,Gift Cards,1 penjual,,"5,827",IDR 359481.25
KFB07Q8QXSL8,"Clothing, Shoes & Jewelry",2 Penjual,4.6,"9,697",
KFB083FX3XQ5,"Clothing, Shoes & Jewelry",1 Penjual,,"5,819",IDR 143648.7075
KFB07MVZZV3G,Electronics,7 Penjual,,"39,828",373716.70749999996 Rupiah
KFB08Z78WMGS,Camera & Photo,,4.4,22,IDR 575026.2075
KFB07MB4HN9X,Gift Cards,1 yg jual,,"721,690",IDR 718962.5
KFB08GH9KL4M,Camera & Photo,,4.5,"3,662",359337.45749999996 rupiah
KFB071WNWHZ7,Video Games,,4.7,"41,676",201165.7075 Rupiah
KF399240462,Books,1 penjual,,"20,547",71608.66500000001 rupiah
KFB078WMVBXD,Camera & Photo,1 Penjual,4.3,"4,582",
KFB0848Q2226,"Clothing, Shoes & Jewelry",1 Penjual,,"25,674",IDR 359337.45749999996
KFB07VNTFHD5,,32 penjual,4.8,"19,478",1854923.25 Rupiah
KFB071WLRPXT,,2 yg jual,4.9,"17,965",240133.47499999998
KFB08Z78WMGS,Camera & Photo,2 Penjual,4.4,,575026.2075 Rupiah
KFB08YMBQJ49,,1 Penjual,4.9,"1,575",IDR 4745008.7075000005
KFB07J54KYP1,,1 Penjual,4.8,"721,690",718962.5
KFB08X8FDHFN,Video Games,7 yg jual,,3,573444.49 Rupiah
KFB00KRYLG7U,"Clothing, Shoes & Jewelry",37 penjual,,"33,474",62262.152500000004
KFB08CNG9Y52,"Clothing, Shoes & Jewelry",5 yg jual,4.7,"41,926",
KFB07SQZ3GJG,Video Games,1 yg jual,4.8,,86131.7075
KFB0151E6OUO,"Clothing, Shoes & Jewelry",,4.4,"23,326",86131.7075
KFB07SBX48TY,Video Games,,4.4,"23,265",IDR 575026.2075
KFB0856W45VL,,4 yg jual,4.6,"5,203",747577.2075 Rupiah
KFB08KY684PB,Electronics,1 penjual,,"4,207",IDR 244303.4575
KFB072M34RQC,Electronics,25 yg jual,4.7,"23,209",
KFB095NWYQBC,Electronics,1 yg jual,5.0,4,
KFB07SK4W1VJ,Video Games,,4.8,"22,066",690204.0 rupiah
KFB082WW1SWW,,7 penjual,4.2,"4,429",316199.70749999996
KFB08KHCR1YF,Camera & Photo,5 penjual,4.5,"2,524",
KFB06WVJBVT4,Gift Cards,1 penjual,4.9,"62,352",
KFB07GTDRNKD,Toys & Games,,4.8,"24,685",128981.87250000001
KFB00O15486W,Video Games,,4.8,"3,913",431233.70749999996 Rupiah
KFB086DL32R3,Electronics,1 yg jual,4.4,"54,100",
KFB08T7FQ9P1,Camera & Photo,1 Penjual,3.3,,431233.70749999996 rupiah
KFB07C6C1SN3,Gift Cards,1 penjual,4.8,"721,690",
KFB00GFIV5YQ,"Clothing, Shoes & Jewelry",2 yg jual,,"5,413",134733.57249999998
KFB07TT11TXZ,"Clothing, Shoes & Jewelry",1 Penjual,,"4,107",114890.2075 rupiah
KFB07TMJ1R3X,Electronics,1 yg jual,4.6,,IDR 1293988.7075
KFB08GH9KL4M,Camera & Photo,10 Penjual,4.5,,359337.45749999996 rupiah
KFB079VSQWRP,"Clothing, Shoes & Jewelry",,4.5,"59,980",IDR 129413.25
KFB08F6DWKQP,Electronics,1 yg jual,4.5,,2588121.2075 rupiah
KFB08F6GPQQ7,Electronics,1 Penjual,4.5,179,
KFB094TCDJWC,Books,1 penjual,3.5,,184773.3625 rupiah
KFB01NAUKS62,,4 penjual,4.8,"50,233",186355.08000000002 rupiah
KFB06Y42G518,Video Games,,4.1,"1,211",215544.9575
KFB00DW1JT5G,Toys & Games,,4.6,"21,200",215544.9575
KFB0874YZVWK,Electronics,1 yg jual,,"10,691",1581573.7075 rupiah
KFB086DKSHQ4,Electronics,1 yg jual,,"54,100",3594668.7075 rupiah
KF1501110365,,1 Penjual,4.7,"18,508",175426.84999999998 rupiah
KFB08F6DWKQP,Electronics,1 yg jual,,179,IDR 2588121.2075
KFB088GD5WD4,,1 yg jual,4.6,"3,767",359481.25
KFB07TS96J7Q,Toys & Games,2 yg jual,4.7,"12,902",
KFB08571VZ3Q,Camera & Photo,,4.6,"3,509",575026.2075 Rupiah
KFB07T5DTPHL,"Clothing, Shoes & Jewelry",1 penjual,,"6,882",258682.7075 rupiah
KFB08PN3D63S,Toys & Games,1 penjual,4.8,"1,089",
KFB015IY34FA,Electronics,,4.8,"38,743",IDR 533326.3825000001
KFB08MW92TWD,,1 yg jual,4.4,"1,389",359481.25
KFB081RJ8DW1,Electronics,10 Penjual,4.4,,IDR 1437781.2075
KFB086VJN8RC,Camera & Photo,1 Penjual,4.2,"1,221",
KFB07MF93X2Q,,1 penjual,4.8,"29,552",IDR 718243.5375000001
KFB004RMK57U,Video Games,1 Penjual,4.8,,359337.45749999996 rupiah
KFB089DR29T6,Electronics,1 penjual,,"434,174",359337.45749999996
KFB0872DGGBX,"Clothing, Shoes & Jewelry",3 Penjual,,"12,329",218277.01499999998 Rupiah
KFB0872FYTWS,Electronics,1 penjual,4.7,"17,175",
KFB007DW6F34,Toys & Games,10 penjual,4.6,,100510.9575 rupiah
KFB071CKSMS7,Toys & Games,25 Penjual,4.7,"16,477",
KFB001MY20X8,Toys & Games,4 Penjual,4.7,,71752.4575 rupiah
KFB08F6FYN6B,,1 yg jual,4.5,484,IDR 2588121.2075
KFB074JT3698,Electronics,1 Penjual,4.5,"10,583",
KFB07LF27WBQ,"Clothing, Shoes & Jewelry",,4.3,"53,435",287441.20749999996 Rupiah
KFB01IXYY172,,1 penjual,4.7,"2,918",IDR 186786.4575
KFB086QXHQ77,,3 Penjual,4.5,"9,810",IDR 373716.70749999996
KFB095KCDVGV,"Clothing, Shoes & Jewelry",1 Penjual,4.2,"17,334",
KFB08B186P6J,"Clothing, Shoes & Jewelry",1 penjual,4.5,"8,719",
KFB00F4CEWOY,Video Games,1 penjual,4.7,"117,579",
KFB01CW4CR4I,Camera & Photo,3 penjual,4.3,,575026.2075 Rupiah
KF1501110365,Books,,4.7,"18,508",IDR 175426.84999999998
KF1589255518,Books,1 Penjual,,"36,207",60680.435
KFB01BCNZJ54,Video Games,4 yg jual,4.6,,215544.9575 rupiah
KFB08JCHVZ11,Camera & Photo,,4.4,"1,311",575026.2075
KFB07F7T8J9P,,19 Penjual,4.7,"26,056",377311.51999999996
KFB017V6YVDC,Video Games,1 yg jual,4.7,,143648.7075 Rupiah
KFB08DXXS6Q7,,1 Penjual,4.8,"22,185",IDR 359481.25
KFB07TWFVDWT,Electronics,,4.6,"95,064",2286300.75 Rupiah
KFB07SL6ZXBL,Video Games,52 Penjual,,"52,003",532032.25 Rupiah
KFB09138R2XM,Toys & Games,1 Penjual,4.4,"2,437",
KFB00006RVTS,,34 Penjual,4.7,"1,030",77504.1575 rupiah
KFB07RRDR4PQ,,5 Penjual,4.5,"3,151",459992.20749999996 Rupiah
KF375813659,Books,1 yg jual,4.8,,57517.0 rupiah
KFB07W1HKYQK,Camera & Photo,1 Penjual,,"6,118",IDR 1437781.2075
KFB07LFWD71T,Camera & Photo,4 penjual,4.4,"2,939",
KFB08P4DZYGC,Camera & Photo,4 penjual,4.4,,431233.70749999996 rupiah
KFB01C9MW8Z6,Gift Cards,,4.9,"37,588",359481.25 Rupiah
KFB07Y29TRQY,,2 yg jual,4.3,"9,461",819473.4575 rupiah
KFB01C9MW8Z6,,1 Penjual,4.9,"37,588",359481.25 rupiah
KFB00O15486W,Video Games,1 Penjual,4.8,,431233.70749999996 Rupiah
KFB07Y693ND1,Video Games,22 penjual,4.7,,375729.8025 Rupiah
KFB08KVSQ9FL,"Clothing, Shoes & Jewelry",1 yg jual,4.2,"4,358",
KFB07RZ75JW3,Video Games,,4.5,"70,218",646922.4575 rupiah
KFB08GG6FCLT,Camera & Photo,,4.1,13,402475.20749999996 rupiah
KFB07MYYV9K1,,2 penjual,4.4,"3,218",229924.2075 rupiah
KFB086VR9J8Q,Electronics,1 yg jual,4.7,,3882253.7075 Rupiah
KFB071JDWV4R,"Clothing, Shoes & Jewelry",5 Penjual,,"64,972",143648.7075
KFB0922WX37L,Toys & Games,1 penjual,,"20,399",201165.7075 Rupiah
KFB07F15CV12,,1 yg jual,4.8,"32,411",IDR 287441.20749999996
KFB07XP1619N,,3 Penjual,4.3,422,IDR 675680.9575
KFB01MSBQB1P,Gift Cards,,4.8,"19,791",71896.25 rupiah
KF159285849X,Books,1 penjual,4.7,"21,552",
KFB07FCJNX46,Camera & Photo,,4.4,935,IDR 1150196.2075
KFB06XWXTWXT,Gift Cards,1 penjual,4.8,,718962.5 rupiah
KFB01K8RMDO0,Gift Cards,,4.9,"62,352",359481.25 rupiah
KFB095NWYQBC,Electronics,,5.0,4,143504.915 rupiah
KFB00XKYM3WQ,"Clothing, Shoes & Jewelry",1 penjual,4.6,"28,178",
KFB08X8FDHFN,Video Games,7 yg jual,1.4,,IDR 573444.49
KFB091N43KTX,Electronics,1 Penjual,4.7,,718818.7075
KFB0749FWLTP,"Clothing, Shoes & Jewelry",1 penjual,4.4,"65,780",
KF1623159911,,1 yg jual,4.8,"19,616",129269.4575 rupiah
KFB00F4CEHNK,Video Games,1 penjual,4.7,"117,579",
KFB072F9T6VX,Gift Cards,,4.9,"50,571",287585.0
KFB01CDCG4KM,,2 yg jual,4.6,"20,621",IDR 287441.20749999996
KFB07Q8QXSL8,,2 yg jual,4.6,"9,697",IDR 416854.45749999996
KFB07KGVB6D6,Electronics,1 yg jual,4.6,,1725366.2075 rupiah
KFB018HB2QFU,Toys & Games,16 Penjual,4.7,"28,041",
KFB086FNYH28,,1 Penjual,4.8,"721,690",718962.5
KFB07FN2DPK9,"Clothing, Shoes & Jewelry",1 Penjual,4.8,,244303.4575
KFB08F5LQCYP,Electronics,1 Penjual,,"1,228",2156743.7075
KFB01LX3U0H6,,1 Penjual,4.8,"91,384",718962.5 Rupiah
KFB06W5SBSL7,Gift Cards,,4.9,"74,543",143792.5
KFB01MG2163Y,Toys & Games,3 Penjual,4.8,,359337.45749999996
KFB094WN6SY2,Video Games,7 penjual,,"25,811",IDR 1078299.9575
KFB07GB2T125,Camera & Photo,5 Penjual,3.4,"3,841",
KFB004DNVP8G,"Clothing, Shoes & Jewelry",2 Penjual,4.6,,172694.7925 Rupiah
KFB07HJHK8Y5,Gift Cards,1 yg jual,4.8,,416279.2875 rupiah
KFB08F7PTF54,Video Games,56 penjual,4.8,"49,200",
KFB08DXXS6Q7,Gift Cards,,4.8,"22,185",359481.25 Rupiah
KFB08KY684PB,Electronics,1 Penjual,,"4,207",IDR 244303.4575
KFB07X1YLC2L,,7 Penjual,3.9,"2,193",416854.45749999996 rupiah
KFB07DJY81FP,Video Games,,4.8,"19,902",718099.745
KFB07G2YR23M,Camera & Photo,1 yg jual,,"42,047",575026.2075 Rupiah
KFB07KGVB6D6,,1 penjual,4.6,"47,546",1725366.2075 Rupiah
KFB01FXC7JWQ,Electronics,,4.6,"23,307",2371713.495 Rupiah
KFB08BXHGPVB,,94 yg jual,4.7,"7,596",186786.4575
KFB07T5DTPHL,"Clothing, Shoes & Jewelry",1 penjual,4.0,"6,882",
KFB00X5TNSCA,Camera & Photo,4 Penjual,,433,172263.415
KFB084RPZD6T,Video Games,20 yg jual,,"16,510",431233.70749999996
KFB010KYDNDG,Video Games,1 penjual,,"26,641",387520.7875
KF399226907,,1 penjual,4.9,"35,863",72759.00499999999 rupiah
KFB071CKSMS7,Toys & Games,25 yg jual,4.7,,143217.33000000002 Rupiah
KFB08X8FDHFN,Video Games,7 Penjual,1.4,3,
KFB00GFIV5YQ,"Clothing, Shoes & Jewelry",2 yg jual,4.6,,134733.57249999998
KFB07RMC5BRL,Video Games,41 yg jual,4.4,,575026.2075 Rupiah
KFB01C9MW8Z6,Gift Cards,,4.9,"37,588",359481.25 rupiah
KFB08R6S1M1K,Electronics,,4.7,"1,450",215544.9575
KFB08BSKT43L,Video Games,,4.9,"9,297",573444.49 Rupiah
KF761189602,Books,1 penjual,4.8,"15,469",
KF1483815846,Books,,4.7,"4,064",139191.13999999998 Rupiah
KFB07TNQSH4J,Gift Cards,,4.8,"91,384",IDR 718962.5
KFB08571VZ3Q,Camera & Photo,1 Penjual,4.6,,575026.2075 rupiah
KFB06XV1LW52,Toys & Games,32 yg jual,,"6,247",89007.55750000001 rupiah
KFB07WJS3QDX,Electronics,1 Penjual,4.7,,IDR 2012951.2075
KFB074JT3698,Electronics,1 Penjual,4.5,"10,583",
KFB07SG15148,Video Games,50 yg jual,,"18,643",718099.745 Rupiah
KFB08CXM6QNM,Camera & Photo,,4.3,"4,800",488750.7075
KFB00YXO5U40,Video Games,10 Penjual,,"32,015",358762.2875 rupiah
KF345816021,Books,1 Penjual,4.7,"39,501",
KF679805273,Books,,4.9,"27,317",111870.565
KFB07GF4JCDY,Camera & Photo,8 penjual,,"14,042",558777.655 Rupiah
KFB07Y93PHLP,Gift Cards,1 yg jual,4.9,"1,703",
KFB06XYYS12C,"Clothing, Shoes & Jewelry",1 yg jual,,"15,669",316199.70749999996
KFB08FC6C75Y,,146 Penjual,4.8,"25,811",IDR 934651.25
KFB084DCJKSL,,1 yg jual,4.7,314,1869158.7075 Rupiah
KFB08CXM6QNM,Camera & Photo,8 yg jual,,"4,800",488750.7075
KFB07WYVVY2Z,Gift Cards,1 Penjual,,"91,384",IDR 718962.5
KFB077T9WSSN,,1 Penjual,4.9,"74,543",IDR 143792.5
KFB075XLWML4,Electronics,,4.7,"85,934",560790.75 rupiah
KFB094Q23VHC,Gift Cards,1 yg jual,4.8,,IDR 718962.5
KF316420085,Books,,4.6,"4,741",250198.94999999998 Rupiah
KFB082R61V9K,"Clothing, Shoes & Jewelry",2 yg jual,4.2,"16,854",
KFB07ZD22HKW,,1 yg jual,4.3,"4,943",373285.33
KF1501161938,Books,1 Penjual,,"19,083",IDR 135452.535
KFB082WW1SWW,,7 penjual,4.2,"4,429",316199.70749999996 rupiah
KFB0872FYTWS,Electronics,1 yg jual,,"17,175",2300536.2075 rupiah
KFB07PHCWJ9W,Toys & Games,1 penjual,,"9,296",158027.9575 rupiah
KFB07D3P511R,,1 Penjual,4.8,"721,690",718962.5
KFB08YMBQJ49,Electronics,1 Penjual,,"1,575",4745008.7075000005
KFB01FXC7JWQ,Electronics,21 yg jual,4.6,"23,307",
KFB083Q4V52T,"Clothing, Shoes & Jewelry",1 yg jual,4.0,"12,850",
KFB08KY684PB,,1 yg jual,4.4,"4,207",244303.4575
KFB08DXD8LSR,Camera & Photo,,4.5,"1,661",1437781.2075
KF375813659,Books,1 Penjual,4.8,"13,455",
KFB07TMNGSN4,Gift Cards,1 yg jual,4.8,,IDR 718962.5
KFB077ZKF9ZN,,8 Penjual,4.6,"138,451",229636.6225
KFB07HJHK8Y5,Gift Cards,,4.8,"12,596",416279.2875 Rupiah
KFB0831FLG95,"Clothing, Shoes & Jewelry",1 yg jual,4.3,"13,177",
KFB01I21GQH4,,23 yg jual,4.4,"20,837",IDR 99216.82500000001
KFB0795GHTBC,Video Games,3 Penjual,4.8,,85556.5375 rupiah
KFB089DR29T6,Electronics,1 Penjual,4.7,,IDR 359337.45749999996
KFB07DWYJMGQ,"Clothing, Shoes & Jewelry",1 penjual,4.3,,201165.7075
KFB004S8F7QM,Toys & Games,5 Penjual,4.8,"107,829",
KFB001TI9Y2M,Camera & Photo,19 yg jual,4.3,"7,699",
KFB08GLWV2BM,Gift Cards,1 penjual,,"721,690",IDR 718962.5
KFB00NLZUM36,Video Games,,4.6,"28,843",431233.70749999996 rupiah
KFB07MBW6JNL,,2 Penjual,4.6,"15,178",100510.9575 Rupiah
KFB086FJV9H7,,1 penjual,4.8,"91,384",IDR 718962.5
KF1501171348,Books,1 yg jual,4.3,,234381.77500000002 Rupiah
KFB012A7R7I8,,8 yg jual,4.8,"22,792",344958.20749999996 Rupiah
KFB078GZM4H8,Video Games,56 yg jual,,"66,505",57373.207500000004 Rupiah
KFB06ZY43PDR,Gift Cards,1 penjual,4.9,"26,102",
KFB08FC5L3RG,,1 yg jual,4.9,"19,869",172551.0 rupiah
KFB086DKSHQ4,Electronics,1 penjual,4.4,"54,100",
KFB08K8W68BX,Camera & Photo,3 penjual,4.8,,517509.2075
KFB07VNTFHD5,Video Games,32 yg jual,4.8,"19,478",
KFB094TCDJWC,Books,,3.5,5,184773.3625 rupiah
KFB06XWXTWXT,Gift Cards,1 Penjual,,"721,690",718962.5
KFB01N3ASPNV,Video Games,,4.8,"87,346",86131.7075
KFB07XP1619N,Camera & Photo,3 Penjual,4.3,422,
KFB071FXZBMV,Electronics,,4.5,"33,856",114746.41500000001 Rupiah
KFB07FPP6TB5,Electronics,1 penjual,,"38,016",2156743.7075 rupiah
KFB07TS96J7Q,Toys & Games,,4.7,"12,902",IDR 359337.45749999996
KFB08F6GPQQ7,Electronics,1 penjual,4.5,179,
KF1501128035,Books,,4.5,"7,982",121504.66249999999 rupiah
KFB071WNWHZ7,,1 Penjual,4.7,"41,676",IDR 201165.7075
KFB001TI9Y2M,Camera & Photo,19 penjual,4.3,"7,699",
KFB0829WGK49,Camera & Photo,3 penjual,,"2,083",431233.70749999996
KFB074T91QTZ,,1 yg jual,4.5,"25,340",IDR 359481.25
